Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2057,6578193084.535989,358823556.08347833,284311390.09514904,74512165.98832893,19393653382.464508,743702354.3856566,509085431.1428473,234616923.2428093,35850887632.82922,678959779.2574247,263723466.08883315,415236313.16859436,4582233768.26561,323375804.9044468,267006751.33448467,56369053.56996155,2104861494.6310065,1324127038.661314,66404967868.09533,0.8918863672369441,1324127038.661314,780734455.9696925
2058,6652276198.697775,362167793.53666544,288084679.37487954,74083114.16178608,19622432745.917385,747933765.0841744,519154401.631303,228779363.45287704,36262511871.953064,680897386.9073708,269273147.7835282,411624239.12384033,4637822781.732342,326529850.30744565,270940836.8407138,55589013.466732025,2117528795.8356562,1347453065.6304245,67175043598.30057,0.8929835556819326,1347453065.6304245,770075730.2052317
2059,6725904418.453917,365477573.27908134,291849353.5229397,73628219.75614166,19845324368.884,751998653.5188632,529107030.552243,222891622.96661377,36670365582.73319,682733822.9817291,274880112.2016044,407853710.7801285,4692607776.346394,329622260.38132477,274837265.7672724,54784994.61405182,2129832310.1609983,1370673762.0440595,67934202146.417496,0.8939367019689892,1370673762.0440595,759158548.1169388
2060,6799052581.202592,368752079.99809337,295603917.24941903,73148162.74867535,20062294436.273235,755902310.4208901,538932243.0316547,216970067.38923645,37074296977.09519,684473885.0303323,280542490.66832906,403931394.3619995,4746566627.849952,332652571.0914069,278693719.58784926,53958851.50355816,2141780846.5407226,1393772370.537252,68682210622.42097,0.8947636774855309,1393772370.537252,748008476.0034707
2061,6871696234.94931,371990545.1710172,299346891.4242984,72643653.7467184,20273324790.008404,759649903.5011675,548619549.7660009,211030353.73516846,37474161099.27508,686122437.6806896,286258315.500811,399864122.17988586,4799679071.4392395,335620429.8974215,282507986.3081334,53112443.58928776,2153383316.2502956,1416732742.9992435,69418861195.67203,0.8954804026222061,1416732742.9992435,736650573.2510521
2062,6943811666.773876,375192247.20997554,303076815.38540906,72115431.82456589,20478412168.39597,763246471.1472479,558159092.7596788,205087378.3875656,37869819968.17421,687684389.6992211,292025520.80009055,395658868.8991318,4851926698.949356,338525592.0255998,286277964.51548433,52247627.51011658,2164648700.0820446,1439539393.4606628,70143970502.29341,0.8961009894547022,1439539393.4606628,725109306.6213818
2063,7015375929.080948,378356511.4911186,306792249.18404615,71564262.30707169,20677567403.702732,766696920.4582444,567541685.1514817,199155235.3067627,38261142696.05717,689164671.3936177,297841943.51065165,391322727.88295746,4903292948.608299,341367916.50004184,290001666.8410984,51366249.658943176,2175586019.843023,1462177544.6872778,70857378977.44916,0.8966378943886064,1462177544.6872778,713408475.155745
2064,7086366863.591795,381482710.271849,310491775.76100206,70990934.51084709,20870814587.801643,770006028.8514118,576758844.7525038,193247184.0989113,38648005583.79211,690568212.4885408,303705324.75360435,386862887.7349396,4953763087.745891,344147361.9698193,293677222.83222693,50470139.13759136,2186204313.581621,1484633168.099337,71558950122.93144,0.8971020728821613,1484633168.099337,701571145.4822841
2065,7156763123.045744,384570262.50014585,314174003.0461975,70396259.45394897,21058190215.2543,773178448.4653496,585802821.0126892,187375627.4526558,39030292192.95221,691899920.5990834,309613311.43897957,382286609.16010284,5003324188.876394,346863982.36738294,297302881.23687977,49561101.130503654,2196512613.9319615,1506893016.7347462,72248569720.12865,0.8975031307286409,1506893016.7347462,689619597.1972153
2066,7226544190.590578,387618633.52035457,317837565.97552055,69781067.54483414,21239742312.6221,776218712.6008378,594666615.2330396,181552097.36780167,39407893395.20968,693164660.4190525,315563458.1615843,377601202.2574692,5051965099.600731,349517922.43243176,300877011.7080947,48640910.724336624,2206519928.9726768,1528944651.0782394,72926144998.02309,0.8978494682250674,1528944651.0782394,677575277.8944373
2067,7295690396.851722,390627334.6800904,321481128.418947,69146206.26114368,21415529562.15709,779131243.4779992,603343993.9430093,175787249.5349884,39780707399.55897,694367233.7332592,321553229.3839741,372814004.34928894,5099676406.795507,352109413.1339881,304398105.93921244,47711307.194776535,2216235225.0253367,1550776457.6851425,73591603765.36328,0.898148414956074,1550776457.6851425,665458767.3401942
2068,7364182934.680417,393595922.84322506,325103385.014529,68492537.8286953,21585620427.33609,781920360.6449169,611829495.465915,170090865.17900085,40148639758.00281,695512360.352844,327580001.90899783,367932358.44384,5146450395.571607,354638767.0217392,307864778.2456397,46773988.776099205,2225667410.8627253,1572377660.6350813,74244893515.59093,0.8984063539605077,1572377660.6350813,653289750.227644
