year,steel_stock,stock_vehicles,stock_machinery,stock_BC,stock_appliances,population,stock_per_capita
1958,4761294865.986047,665408271.7153153,452320512.51294625,3334342241.7419868,309223840.015803,2911249671.0,1.6354814612484148
1959,4934251522.830731,698377046.2056073,475205883.7072252,3436098689.143477,324569903.77442664,2965950350.0,1.6636325428814853
1960,5137654249.458954,738709599.2298031,503553765.95294017,3552349764.9498158,343041119.3263947,3015470889.0,1.7037651625821926
1961,5335339894.654498,778607834.6922448,528382903.2899172,3668266138.0842752,360083018.588066,3064869675.0,1.740804817305812
1962,5548427543.494318,823289082.1850244,557891317.0873287,3790345059.1950946,376902085.0268706,3123374312.0,1.7764209439058478
1963,5759945058.644101,868364597.7051436,587509243.3791397,3910476263.1180162,393594954.4418014,3192807826.0,1.8040375032092837
1964,5999854932.844549,910885257.6621368,629860841.5088161,4043106343.728876,416002489.9447199,3264487343.0,1.8379164329461912
1965,6255318560.661532,964950076.2712896,666679361.1332471,4187062929.878701,436626193.378288,3334533710.0,1.875920025010493
1966,6521821410.740399,1019647145.4993376,704803469.1763617,4339960042.191383,457410753.8733174,3404041131.0,1.9159055839094676
1967,6796865236.330069,1075634595.3885164,743232156.7489841,4499618253.429968,478380230.7625998,3473412877.0,1.9568261755857101
1968,7092076008.116184,1136032206.9207642,784077309.9221373,4671007559.132872,500958932.140411,3545187246.0,2.000479950986539
1969,7411031078.554714,1201089446.4351854,829238705.631633,4855200150.477479,525502776.01041627,3619491581.0,2.0475337247523533
1970,7750958569.309682,1268156943.1319456,877634897.3851773,5054055295.2167635,551111433.5757879,3694683794.0,2.097867910075793
1971,8093126791.239659,1332160451.3674355,927054655.0357369,5258709669.819462,575202015.0170171,3769847867.0,2.1468046130148144
1972,8451531834.636303,1400336292.6352372,978927926.7105058,5471484112.57943,600783502.7111307,3844917684.0,2.1981047526208375
1973,8849479024.21007,1476553518.0459723,1037181235.7635485,5705397488.601987,630346781.7985618,3920805041.0,2.257056632928888
1974,9251998867.239954,1550839936.6274452,1096959407.7371318,5945339300.492096,658860222.383272,3996416100.0,2.315073965205964
